 Rank,Player,SPG
208.,Alvin Williams,1.19
209.,Don Chaney,1.19
210.,Mark Price,1.19
211.,Andre Miller,1.19
212.,Charles Johnson,1.18
213.,Jason Williams,1.18
214.,Michael Cooper,1.18
215.,Kenyon Martin,1.18
216.,Raymond Felton,1.18
217.,Elfrid Payton,1.18
218.,Reggie Theus,1.18
219.,Cuttino Mobley,1.18
220.,Greg Anthony,1.17
221.,Armond Hill,1.17
222.,Mike Bibby,1.17
223.,Sleepy Floyd,1.17
224.,Tom Henderson,1.17
225.,Gary Harris,1.17
226.,Delon Wright,1.17
227.,Giannis Antetokounmpo,1.16
228.,Jason Richardson,1.16
229.,Ruben Patterson,1.16
230.,T.J. Ford,1.16
231.,Ty Lawson,1.15
232.,Darren Collison,1.15
233.,Tyrone Corbin,1.15
234.,Eric Snow,1.15
235.,Wil Jones,1.15
236.,Aaron McKie,1.15
237.,Kyle Macy,1.15
238.,Derrick McKey,1.14
239.,Patrick Beverley,1.14
240.,Mack Calvin,1.14
241.,Dave Cowens*,1.14
242.,Johnny Dawkins,1.14
243.,Byron Scott,1.14
244.,Vernon Maxwell,1.14
245.,Jason Terry,1.14
246.,Vlade Divac*,1.14
247.,Otto Porter Jr.,1.14
248.,John Bagley,1.14
249.,Mickey Johnson,1.13
250.,Jeff Teague,1.13
