Rank,Player,PPG
203.,Glen Combs,16.49
204.,Terry Cummings,16.45
205.,Brook Lopez,16.40
206.,Dick Van Arsdale,16.37
207.,Joe Fulks*,16.37
208.,Gary Payton*,16.34
209.,Deron Williams,16.34
210.,Tobias Harris,16.33
211.,Eric Gordon,16.32
212.,Archie Clark,16.30
213.,Doug Moe,16.30
214.,Stew Johnson,16.29
215.,Cincinnatus Powell,16.27
216.,Jrue Holiday,16.23
217.,Gus Johnson*,16.23
218.,Carlos Boozer,16.23
219.,Brian Winters,16.21
220.,Darrell Griffith,16.20
221.,Larry Johnson,16.20
222.,Rudy Gay,16.19
223.,Jeff Mullins,16.19
224.,Charlie Williams,16.18
225.,Joe Caldwell,16.14
226.,Mack Calvin,16.12
227.,James Silas,16.11
228.,Joe Dumars*,16.11
229.,Baron Davis,16.10
230.,Scottie Pippen*,16.08
231.,Dave DeBusschere*,16.06
232.,Freddie Lewis,16.04
233.,Cuttino Mobley,16.02
234.,Eddie Johnson,16.02
235.,Keith Van Horn,16.01
236.,Orlando Woolridge,16.01
237.,Buddy Hield,16.01
238.,Marvin Barnes,15.98
239.,Bob Netolicky,15.98
240.,Joe Johnson,15.98
241.,Corey Maggette,15.96
242.,Andrew Toney,15.94
243.,Pascal Siakam,15.92
244.,Louie Dampier*,15.92
245.,Elton Brand,15.90
246.,Don Ohl,15.89
247.,Campy Russell,15.82
248.,Dick Barnett,15.82
249.,Willie Naulls,15.79
250.,Sam Cassell,15.75
