Rank,Player,PER
204.,CJ McCollum,17.54
205.,Bob Verga,17.54
206.,John Havlicek*,17.53
207.,Glenn Robinson,17.50
208.,Josh Smith,17.44
209.,Mack Calvin,17.44
210.,Andre Miller,17.43
211.,Lou Hudson*,17.43
212.,George Thompson,17.40
213.,Bob Netolicky,17.39
214.,Anfernee Hardaway,17.38
215.,Gordon Hayward,17.36
216.,Jrue Holiday,17.36
217.,Toni Kukoč*,17.35
218.,Ray Williams,17.32
219.,Richie Guerin*,17.30
220.,Jack Sikma*,17.29
221.,Randy Denton,17.29
222.,Ty Lawson,17.23
223.,Detlef Schrempf,17.22
224.,Dikembe Mutombo*,17.21
225.,Roger Brown*,17.21
226.,Earl Monroe*,17.20
227.,Antonio McDyess,17.19
228.,Terry Porter,17.18
229.,Zach LaVine,17.15
230.,Johnny Green,17.13
231.,Peja Stojaković,17.12
232.,Serge Ibaka,17.11
233.,Tyreke Evans,17.10
234.,Ruben Patterson,17.09
235.,Mehmet Okur,17.08
236.,Jimmy Jones,17.07
237.,Nenê,17.07
238.,Ray Felix,17.06
239.,Marcin Gortat,17.05
240.,Larry Kenon,17.05
241.,Steven Adams,17.03
242.,Alvin Robertson,17.02
243.,Dave Cowens*,17.02
244.,Eric Bledsoe,17.01
245.,Levern Tart,17.01
246.,Rasheed Wallace,17.01
247.,Cliff Robinson,17.00
248.,Emeka Okafor,16.98
249.,James Silas,16.96
250.,Micheal Ray Richardson,16.95
