Rank,Player,APG
209.,Ramon Sessions,4.06
210.,Alvan Adams,4.06
211.,Hal Greer*,4.05
212.,Darrell Armstrong,4.04
213.,Charlie Ward,4.03
214.,Danny Ainge,4.03
215.,Mike Newlin,4.02
216.,Latrell Sprewell,4.01
217.,Fatty Taylor,4.00
218.,Kyle Macy,3.99
219.,Freddie Lewis,3.97
220.,Howard Komives,3.96
221.,Steve Blake,3.96
222.,Greg Anthony,3.96
223.,Jamal Mashburn,3.95
224.,Victor Oladipo,3.95
225.,Brandon Knight,3.94
226.,J.J. Barea,3.94
227.,Mike Dunleavy,3.93
228.,Charles Barkley*,3.93
229.,Devin Harris,3.93
230.,John Roche,3.92
231.,Joe Johnson,3.92
232.,DeMar DeRozan,3.90
233.,Zach LaVine,3.90
234.,Bimbo Coles,3.89
235.,Phil Smith,3.89
236.,Lester Conner,3.89
237.,Wes Unseld*,3.88
238.,Jim Cleamons,3.88
239.,Earl Monroe*,3.88
240.,Ron Harper,3.88
241.,Ish Smith,3.87
242.,D.J. Augustin,3.85
243.,Herm Gilliam,3.85
244.,Jason Terry,3.84
245.,James Silas,3.84
246.,Roger Brown*,3.83
247.,Jalen Rose,3.82
248.,Eric Money,3.81
249.,Sedale Threatt,3.80
250.,Dave Cowens*,3.80
